^SPX (Standard & Poors 500 Index),2933.68,0.0001,,,,,,,,,,,
Apr 24 2019 @ 05:45 ET,Bid,2904.86,Ask,2953.74,Size,1x1,Vol,,,,,,
SPXW190424C02800000,133.35,25.35,132.4,136.4,19,30,SPXW190424P02800000,0.05,-0.05,0,0.1,225,4869
SPXW190424C02805000,0,0,127.4,131.4,0,8,SPXW190424P02805000,0.07,-0.03,0,0.1,19,584
SPXW190424C02810000,123.15,25.15,122.4,126.4,4,17,SPXW190424P02810000,0.05,-0.025,0.05,0.1,42,2813
SPXW190424C02815000,0,0,117.4,121.4,0,10,SPXW190424P02815000,0.08,-0.02,0,0.1,4,759
SPXW190424C02820000,0,0,112.4,116.4,0,86,SPXW190424P02820000,0.1,-0.025,0,0.1,15,1141
SPXW190424C02825000,92.55,9.7,107.4,111.4,21,952,SPXW190424P02825000,0.05,-0.075,0,0.1,298,2060
SPXW190424C02830000,98.9,20.85,102.4,106.4,1,50,SPXW190424P02830000,0.1,-0.05,0,0.1,46,1376
SPXW190424C02835000,0,0,97.4,101.4,0,98,SPXW190424P02835000,0.1,-0.1,0,0.1,32,2225
SPXW190424C02840000,74.45,6.4,92.4,96.4,1,172,SPXW190424P02840000,0.1,-0.1,0,0.15,1749,2666
SPXW190424C02845000,75.39,12.39,87.1,91.4,4,51,SPXW190424P02845000,0.1,-0.15,0,0.15,1267,1849
SPXW190424C02850000,79,20.85,82.1,86.4,1,122,SPXW190424P02850000,0.1,-0.2,0,0.15,1825,2306
SPXW190424C02855000,76.53,23.43,77.1,81.4,6,65,SPXW190424P02855000,0.1,-0.3,0,0.15,344,1243
SPXW190424C02860000,75.2,26.9,72.2,76.4,49,93,SPXW190424P02860000,0.1,-0.375,0,0.15,1236,4295
SPXW190424C02865000,70.07,26.77,67.2,71.4,18,101,SPXW190424P02865000,0.1,-0.5,0,0.15,977,1381
SPXW190424C02870000,63.15,24.55,62.2,66.4,31,88,SPXW190424P02870000,0.15,-0.6,0,0.15,2968,2072
SPXW190424C02875000,58.73,25.03,57.2,61.4,29,1639,SPXW190424P02875000,0.15,-0.875,0.05,0.2,4161,3441
SPXW190424C02880000,55,25.45,52.5,56.4,153,456,SPXW190424P02880000,0.2,-0.05,0.05,0.2,2426,2076
SPXW190424C02885000,50,25.35,47.2,51.5,23,219,SPXW190424P02885000,0.2,-1.625,0.05,0.2,4065,2243
SPXW190424C02890000,43.9,23.55,42.3,46.5,108,495,SPXW190424P02890000,0.25,-2.275,0.1,0.25,4570,2307
SPXW190424C02895000,38.45,22.05,37.6,41.5,124,154,SPXW190424P02895000,0.3,-0.225,0.1,0.3,5200,3387
SPXW190424C02900000,33.8,21.05,32.4,36.6,782,1535,SPXW190424P02900000,0.3,-0.1,0.15,0.4,6533,3014
SPXW190424C02905000,30.2,20.6,27.6,31.7,788,904,SPXW190424P02905000,0.49,-6.16,0.25,0.5,5283,2430
SPXW190424C02910000,24.1,17.2,22.8,26.8,3122,3578,SPXW190424P02910000,0.7,-8.35,0.4,0.7,7004,2781
SPXW190424C02915000,21.04,16.29,18.2,22.1,2107,2343,SPXW190424P02915000,0.95,-10.95,0.6,1.05,5747,2366
SPXW190424C02920000,17,-1.9,14,17.4,3817,2025,SPXW190424P02920000,1.35,-13.9,1.05,1.6,5480,1843
SPXW190424C02925000,12.02,10.045,10,13,8946,8700,SPXW190424P02925000,2.35,-16.9,1.75,2.55,4379,1365
SPXW190424C02930000,8.8,-1.15,6.5,9,7678,3557,SPXW190424P02930000,3.6,-19.95,3,4,4724,2588
SPXW190424C02935000,5.9,5.175,4,5.4,8171,2943,SPXW190424P02935000,5.85,-22.1,4.7,6.4,5693,1513
SPXW190424C02940000,3.6,3.2,2.2,3.1,9679,3432,SPXW190424P02940000,8.78,-23.92,7,9.8,1593,563
SPXW190424C02945000,1.7,1.45,1.05,1.65,7696,2431,SPXW190424P02945000,12.28,-25.12,10.4,13.9,94,40
SPXW190424C02950000,0.95,0.8,0.45,0.85,7912,3563,SPXW190424P02950000,17.24,-25.31,14.5,18.3,13,19
SPXW190424C02955000,0.45,0.35,0.15,0.4,6205,4573,SPXW190424P02955000,21.08,-26.12,19,23.1,1,1
SPXW190424C02960000,0.2,0.15,0.05,0.2,4723,2987,SPXW190424P02960000,27.3,-24.8,23.8,28,157,97
SPXW190424C02965000,0.1,0.05,0.05,0.15,1384,2359,SPXW190424P02965000,0,0,28.7,32.9,0,0
SPXW190424C02970000,0.05,0.025,0,0.1,1243,1207,SPXW190424P02970000,34.6,-27.55,33.7,37.9,1,1
SPXW190424C02975000,0.05,0.025,0,0.1,616,1626,SPXW190424P02975000,0,0,38.7,43,0,0
SPXW190424C02980000,0.05,0.025,0,0.1,2377,2504,SPXW190424P02980000,0,0,43.7,48,0,0
SPXW190424C02985000,0.05,0.025,0,0.1,330,322,SPXW190424P02985000,0,0,48.7,53,0,0
SPXW190424C02990000,0.03,0.005,0,0.05,290,365,SPXW190424P02990000,0,0,53.7,58,0,0
SPXW190424C02995000,0.05,0.025,0,0.05,2,37,SPXW190424P02995000,0,0,58.7,63,0,0
SPXW190424C03000000,0,0,0,0.05,0,1860,SPXW190424P03000000,0,0,63.7,68,0,1
SPXW190424C03005000,0,0,0,0.05,0,322,SPXW190424P03005000,0,0,68.7,73,0,0
SPXW190424C03010000,0,0,0,0.05,0,79,SPXW190424P03010000,0,0,73.7,78,0,0
SPXW190424C03015000,0.03,0.005,0,0.05,2,3,SPXW190424P03015000,0,0,78.7,82.9,0,0
SPXW190424C03020000,0,0,0,0.05,0,16,SPXW190424P03020000,0,0,83.7,87.9,0,0
SPXW190424C03025000,0,0,0,0.05,0,1040,SPXW190424P03025000,0,0,88.7,92.9,0,0
SPXW190424C03030000,0,0,0,0.05,0,2,SPXW190424P03030000,0,0,93.7,97.9,0,0
SPXW190424C03035000,0,0,0,0.05,0,0,SPXW190424P03035000,0,0,98.7,102.9,0,0
SPXW190424C03040000,0,0,0,0.05,0,4,SPXW190424P03040000,0,0,103.7,107.9,0,0
SPXW190424C03045000,0,0,0,0.05,0,0,SPXW190424P03045000,0,0,108.7,112.9,0,0
SPXW190424C03050000,0,0,0,0.05,0,155,SPXW190424P03050000,0,0,113.7,117.9,0,2
SPXW190424C03060000,0,0,0,0.05,0,1550,SPXW190424P03060000,0,0,123.7,127.9,0,1
SPXW190424C03070000,0.02,-0.005,0,0.05,6,6,SPXW190424P03070000,0,0,133.7,137.9,0,0
SPXW190424C03075000,0,0,0,0.05,0,2,SPXW190424P03075000,0,0,138.7,142.9,0,1
SPXW190424C03080000,0,0,0,0.05,0,240,SPXW190424P03080000,0,0,143.7,147.9,0,0
SPXW190424C03090000,0,0,0,0.05,0,1,SPXW190424P03090000,0,0,153.7,157.9,0,1
SPXW190424C03100000,0,0,0,0.05,0,67,SPXW190424P03100000,0,0,163.7,167.9,0,0
SPXW190424C03110000,0,0,0,0.05,0,0,SPXW190424P03110000,0,0,173.7,177.9,0,0
SPXW190424C03125000,0,0,0,0.05,0,18,SPXW190424P03125000,0,0,188.7,192.9,0,0
SPXW190424C03150000,0,0,0,0.05,0,250,SPXW190424P03150000,0,0,213.7,217.9,0,0
SPXW190424C03175000,0,0,0,0.05,0,35,SPXW190424P03175000,0,0,238.7,242.9,0,0
SPXW190424C03200000,0,0,0,0.05,0,0,SPXW190424P03200000,0,0,263.7,267.9,0,0
SPXW190424C03250000,0,0,0,0.05,0,1,SPXW190424P03250000,0,0,313.7,317.9,0,1
SPXW190424C03300000,0,0,0,0.05,0,0,SPXW190424P03300000,0,0,363.7,367.9,0,0
SPXW190424C03400000,0,0,0,0.05,0,0,SPXW190424P03400000,0,0,463.7,467.9,0,0
SPXW190426C00800000,0,0,2132.8,2136.2,0,2,SPXW190426P00800000,0,0,0,0.05,0,0
SPXW190426C00900000,0,0,2032.8,2036.2,0,0,SPXW190426P00900000,0,0,0,0.05,0,0
SPXW190426C01000000,0,0,1932.8,1936.2,0,150,SPXW190426P01000000,0,0,0,0.05,0,150
SPXW190426C01050000,0,0,1882.8,1886.3,0,0,SPXW190426P01050000,0,0,0,0.05,0,0
SPXW190426C01100000,0,0,1832.8,1836.3,0,0,SPXW190426P01100000,0,0,0,0.05,0,0
SPXW190426C01150000,0,0,1782.9,1786.3,0,0,SPXW190426P01150000,0,0,0,0.05,0,2
SPXW190426C01200000,0,0,1732.9,1736.3,0,0,SPXW190426P01200000,0,0,0,0.05,0,0
SPXW190426C01250000,0,0,1682.9,1686.3,0,0,SPXW190426P01250000,0,0,0,0.05,0,83
SPXW190426C01300000,0,0,1632.9,1636.3,0,0,SPXW190426P01300000,0,0,0,0.05,0,87
SPXW190426C01350000,0,0,1582.9,1586.4,0,0,SPXW190426P01350000,0,0,0,0.05,0,72
SPXW190426C01400000,0,0,1532.9,1536.4,0,0,SPXW190426P01400000,0,0,0,0.05,0,60
SPXW190426C01450000,0,0,1482.9,1486.4,0,0,SPXW190426P01450000,0,0,0,0.05,0,60
SPXW190426C01500000,0,0,1433,1436.4,0,0,SPXW190426P01500000,0,0,0,0.05,0,422
SPXW190426C01550000,0,0,1383,1386.4,0,0,SPXW190426P01550000,0,0,0,0.05,0,140
SPXW190426C01600000,0,0,1333,1336.4,0,0,SPXW190426P01600000,0,0,0,0.05,0,23038
SPXW190426C01650000,0,0,1283,1286.4,0,0,SPXW190426P01650000,0,0,0,0.05,0,31426
SPXW190426C01700000,0,0,1233,1236.5,0,0,SPXW190426P01700000,0,0,0,0.05,0,7390
SPXW190426C01750000,0,0,1183,1186.5,0,0,SPXW190426P01750000,0,0,0,0.05,0,181
SPXW190426C01800000,0,0,1133,1136.5,0,0,SPXW190426P01800000,0,0,0,0.05,0,2318
SPXW190426C01850000,0,0,1083.1,1086.5,0,0,SPXW190426P01850000,0,0,0,0.05,0,260
SPXW190426C01900000,1034.3,27.15,1033.1,1036.5,148,94,SPXW190426P01900000,0,0,0,0.05,0,211
SPXW190426C01950000,0,0,983.1,986.5,0,0,SPXW190426P01950000,0,0,0,0.05,0,14442
SPXW190426C02000000,0,0,933.1,936.5,0,150,SPXW190426P02000000,0,0,0,0.05,0,259
SPXW190426C02050000,0,0,883.1,886.6,0,0,SPXW190426P02050000,0,0,0,0.05,0,871
SPXW190426C02075000,0,0,858.1,861.6,0,0,SPXW190426P02075000,0,0,0,0.05,0,147
SPXW190426C02100000,0,0,833.1,836.6,0,0,SPXW190426P02100000,0,0,0,0.05,0,7563
SPXW190426C02125000,0,0,808.1,811.6,0,0,SPXW190426P02125000,0,0,0,0.05,0,129
SPXW190426C02150000,0,0,783.1,786.6,0,0,SPXW190426P02150000,0,0,0,0.05,0,1813
SPXW190426C02175000,0,0,758.2,761.6,0,0,SPXW190426P02175000,0,0,0,0.05,0,1593
SPXW190426C02190000,0,0,743.2,746.6,0,0,SPXW190426P02190000,0,0,0,0.05,0,231
SPXW190426C02200000,0,0,733.2,736.6,0,1,SPXW190426P02200000,0,0,0,0.05,0,1612
SPXW190426C02210000,0,0,723.2,726.6,0,0,SPXW190426P02210000,0,0,0,0.05,0,30
SPXW190426C02220000,0,0,713.2,716.6,0,0,SPXW190426P02220000,0,0,0,0.05,0,12
SPXW190426C02225000,0,0,708.2,711.6,0,0,SPXW190426P02225000,0,0,0,0.05,0,420
SPXW190426C02230000,0,0,703.2,706.6,0,0,SPXW190426P02230000,0,0,0,0.05,0,17
SPXW190426C02240000,0,0,693.2,696.6,0,0,SPXW190426P02240000,0,0,0,0.05,0,424
SPXW190426C02250000,0,0,683.2,686.6,0,0,SPXW190426P02250000,0,0,0,0.05,0,1781
SPXW190426C02260000,0,0,673.2,676.6,0,0,SPXW190426P02260000,0,0,0,0.05,0,516
SPXW190426C02270000,0,0,663.2,666.6,0,0,SPXW190426P02270000,0,0,0,0.05,0,99
SPXW190426C02275000,0,0,658.2,661.6,0,1,SPXW190426P02275000,0,0,0,0.05,0,313
SPXW190426C02280000,0,0,653.2,656.6,0,0,SPXW190426P02280000,0,0,0,0.05,0,12
SPXW190426C02290000,0,0,643.2,646.6,0,1,SPXW190426P02290000,0,0,0,0.05,0,267
SPXW190426C02300000,0,0,633.2,636.6,0,0,SPXW190426P02300000,0,0,0,0.05,0,1393
SPXW190426C02310000,0,0,623.2,626.6,0,0,SPXW190426P02310000,0,0,0,0.05,0,504
SPXW190426C02320000,0,0,613.2,616.6,0,0,SPXW190426P02320000,0,0,0,0.05,0,24
SPXW190426C02325000,0,0,608.2,611.6,0,0,SPXW190426P02325000,0.05,0.025,0,0.05,30,504
SPXW190426C02330000,0,0,603.2,606.6,0,0,SPXW190426P02330000,0,0,0,0.05,0,44
SPXW190426C02335000,0,0,598.2,601.6,0,0,SPXW190426P02335000,0,0,0,0.05,0,2048
SPXW190426C02340000,0,0,593.2,596.6,0,0,SPXW190426P02340000,0,0,0,0.05,0,87
SPXW190426C02345000,0,0,588.2,591.6,0,0,SPXW190426P02345000,0,0,0,0.05,0,36
SPXW190426C02350000,0,0,583.2,586.6,0,0,SPXW190426P02350000,0,0,0,0.05,0,520
SPXW190426C02355000,0,0,578.2,581.7,0,0,SPXW190426P02355000,0,0,0,0.05,0,13
SPXW190426C02360000,0,0,573.2,576.7,0,0,SPXW190426P02360000,0,0,0,0.05,0,640
SPXW190426C02365000,0,0,568.2,571.7,0,0,SPXW190426P02365000,0,0,0,0.05,0,141
SPXW190426C02370000,0,0,563.2,566.7,0,0,SPXW190426P02370000,0,0,0,0.05,0,57
SPXW190426C02375000,0,0,558.2,561.7,0,1,SPXW190426P02375000,0,0,0,0.05,0,2648
SPXW190426C02380000,0,0,553.2,556.7,0,0,SPXW190426P02380000,0,0,0,0.05,0,196
SPXW190426C02385000,0,0,548.2,551.7,0,0,SPXW190426P02385000,0,0,0,0.05,0,583
SPXW190426C02390000,0,0,543.2,546.7,0,0,SPXW190426P02390000,0,0,0,0.05,0,10222
SPXW190426C02395000,0,0,538.2,541.7,0,0,SPXW190426P02395000,0,0,0,0.05,0,25
SPXW190426C02400000,0,0,533.2,536.7,0,0,SPXW190426P02400000,0,0,0,0.05,0,488
SPXW190426C02405000,0,0,528.2,531.7,0,0,SPXW190426P02405000,0,0,0,0.05,0,17
SPXW190426C02410000,0,0,523.2,526.7,0,0,SPXW190426P02410000,0,0,0,0.05,0,1156
SPXW190426C02415000,0,0,518.2,521.7,0,0,SPXW190426P02415000,0,0,0,0.05,0,13
SPXW190426C02420000,0,0,513.2,516.7,0,0,SPXW190426P02420000,0,0,0,0.05,0,524
SPXW190426C02425000,0,0,508.2,511.7,0,10,SPXW190426P02425000,0,0,0,0.05,0,2076
SPXW190426C02430000,0,0,503.2,506.7,0,0,SPXW190426P02430000,0,0,0,0.05,0,454
SPXW190426C02435000,0,0,498.2,501.7,0,0,SPXW190426P02435000,0,0,0,0.05,0,179
SPXW190426C02440000,0,0,493.3,496.7,0,6,SPXW190426P02440000,0,0,0,0.05,0,110
SPXW190426C02445000,0,0,488.3,491.7,0,0,SPXW190426P02445000,0,0,0,0.05,0,156
SPXW190426C02450000,0,0,483.3,486.7,0,3,SPXW190426P02450000,0,0,0,0.05,0,4359
SPXW190426C02455000,0,0,478.3,481.7,0,0,SPXW190426P02455000,0,0,0,0.05,0,94
SPXW190426C02460000,0,0,473.3,476.7,0,0,SPXW190426P02460000,0,0,0,0.05,0,673
SPXW190426C02465000,0,0,468.3,471.7,0,0,SPXW190426P02465000,0,0,0,0.05,0,45
SPXW190426C02470000,0,0,463.3,466.7,0,0,SPXW190426P02470000,0,0,0,0.05,0,152
SPXW190426C02475000,0,0,458.3,461.7,0,0,SPXW190426P02475000,0,0,0,0.05,0,3257
SPXW190426C02480000,0,0,453.3,456.7,0,1,SPXW190426P02480000,0,0,0,0.05,0,130
SPXW190426C02485000,0,0,448.3,451.7,0,0,SPXW190426P02485000,0,0,0,0.05,0,49
SPXW190426C02490000,0,0,443.3,446.7,0,0,SPXW190426P02490000,0,0,0,0.05,0,93
SPXW190426C02495000,0,0,438.3,441.7,0,1,SPXW190426P02495000,0,0,0,0.05,0,389
SPXW190426C02500000,0,0,433.3,436.7,0,2,SPXW190426P02500000,0,0,0,0.05,0,4161
SPXW190426C02505000,0,0,428.3,431.7,0,0,SPXW190426P02505000,0,0,0,0.05,0,279
SPXW190426C02510000,0,0,423.3,426.7,0,0,SPXW190426P02510000,0,0,0,0.05,0,295
SPXW190426C02515000,0,0,418.3,421.7,0,0,SPXW190426P02515000,0,0,0,0.05,0,136
SPXW190426C02520000,0,0,413.3,416.7,0,10,SPXW190426P02520000,0.05,0,0,0.05,9,285
SPXW190426C02525000,0,0,408.3,411.7,0,0,SPXW190426P02525000,0,0,0,0.05,0,28644
SPXW190426C02530000,0,0,403.3,406.7,0,235,SPXW190426P02530000,0,0,0,0.05,0,1439
SPXW190426C02535000,0,0,398.3,401.7,0,1,SPXW190426P02535000,0,0,0,0.05,0,1226
SPXW190426C02540000,0,0,393.3,396.7,0,0,SPXW190426P02540000,0,0,0,0.05,0,3690
SPXW190426C02545000,0,0,388.3,391.7,0,1,SPXW190426P02545000,0,0,0,0.05,0,314
SPXW190426C02550000,0,0,383.3,386.7,0,0,SPXW190426P02550000,0.05,0.025,0,0.05,9,2615
SPXW190426C02555000,0,0,378.3,381.7,0,0,SPXW190426P02555000,0,0,0,0.05,0,1030
SPXW190426C02560000,0,0,373.3,376.7,0,0,SPXW190426P02560000,0.05,0.025,0,0.05,30,6279
SPXW190426C02565000,0,0,368.3,371.8,0,0,SPXW190426P02565000,0,0,0,0.05,0,2601
SPXW190426C02570000,0,0,363.3,366.8,0,0,SPXW190426P02570000,0,0,0,0.05,0,1991
SPXW190426C02575000,0,0,358.3,361.8,0,0,SPXW190426P02575000,0.05,0,0,0.05,130,583
SPXW190426C02580000,333,4.05,353.3,356.8,3,3,SPXW190426P02580000,0.05,-0.025,0,0.05,18,1219
SPXW190426C02585000,0,0,348.3,351.8,0,1,SPXW190426P02585000,0,0,0,0.05,0,1538
SPXW190426C02590000,0,0,343.3,346.8,0,0,SPXW190426P02590000,0.05,-0.025,0,0.05,9,307
SPXW190426C02595000,0,0,338.3,341.8,0,0,SPXW190426P02595000,0,0,0,0.05,0,266
SPXW190426C02600000,336.77,28.22,333.3,336.8,5,9,SPXW190426P02600000,0.05,-0.025,0,0.05,407,14458
SPXW190426C02605000,0,0,328.3,331.8,0,0,SPXW190426P02605000,0,0,0,0.05,0,83
SPXW190426C02610000,0,0,323.3,326.8,0,0,SPXW190426P02610000,0,0,0,0.05,0,9771
SPXW190426C02615000,0,0,318.3,321.8,0,0,SPXW190426P02615000,0,0,0,0.05,0,3070
SPXW190426C02620000,0,0,313.3,316.8,0,0,SPXW190426P02620000,0.05,-0.025,0,0.05,30,398
SPXW190426C02625000,0,0,308.3,311.8,0,0,SPXW190426P02625000,0.05,-0.025,0,0.05,1179,4607
SPXW190426C02630000,0,0,303.3,306.8,0,0,SPXW190426P02630000,0.05,-0.05,0,0.05,545,4762
SPXW190426C02635000,0,0,298.3,301.8,0,0,SPXW190426P02635000,0.05,-0.05,0,0.05,31,693
SPXW190426C02640000,0,0,293.4,296.8,0,0,SPXW190426P02640000,0.05,-0.05,0,0.1,19,320
